family,p,n,instance,k,time_s,improvement_pct,moves,scans,time_per_scan_ms,avg_neighborhood_size,initial_objective,final_objective
Euclidean,1,100,1,1,0.001861,2.515981,28,29,0.031103,196.0,168282.257814,164048.308213
Euclidean,1,100,2,1,0.002492,3.294553,48,49,0.032061,196.0,158763.419155,153532.873986
Euclidean,1,100,3,1,0.002211,2.270183,36,37,0.032784,196.0,167657.409657,163851.280439
Euclidean,1,100,4,1,0.002573,11.893909,44,45,0.035844,196.0,182981.006286,161217.411463
Euclidean,1,100,5,1,0.003409,22.089427,56,57,0.041263,196.0,167899.854843,130811.738836
Euclidean,1,100,6,1,0.002768,17.604171,47,48,0.039354,196.0,153540.871522,126511.274181
Euclidean,1,100,7,1,0.002665,7.047751,52,53,0.032981,196.0,164251.023861,152675.019994
Euclidean,1,100,8,1,0.002548,6.772583,43,44,0.036591,196.0,163437.56951,152368.623795
Euclidean,1,100,9,1,0.00231,2.915154,37,38,0.034974,196.0,157126.232238,152545.760424
Euclidean,1,100,10,1,0.001806,0.98566,23,24,0.038542,196.0,154667.803552,153143.304576
Euclidean,1,100,11,1,0.001945,1.931222,32,33,0.031182,196.0,149039.616244,146161.330711
Euclidean,1,100,12,1,0.002492,2.304605,49,50,0.03056,196.0,147174.610407,143782.8163
Euclidean,1,100,13,1,0.002441,1.18498,51,52,0.030962,196.0,154868.092891,153032.937646
Euclidean,1,100,14,1,0.002199,14.011257,36,37,0.035378,196.0,174702.353401,150224.357608
Euclidean,1,100,15,1,0.002506,3.176871,46,47,0.032638,196.0,170827.550483,165400.580319
Euclidean,1,100,16,1,0.001879,1.695985,30,31,0.033484,196.0,174958.595358,171991.323883
Euclidean,1,100,17,1,0.002142,13.647698,31,32,0.036781,196.0,159291.187488,137551.607166
Euclidean,1,100,18,1,0.002445,0.625502,45,46,0.033543,196.0,157979.666993,156991.501098
Euclidean,1,100,19,1,0.002881,5.342453,55,56,0.035321,196.0,154106.141885,145873.092955
Euclidean,1,100,20,1,0.002987,14.432312,52,53,0.039038,196.0,174917.391815,149672.76854
Euclidean,1,100,1,2,0.004934,18.538311,52,53,0.076264,520.226415,168282.257814,137085.570278
Euclidean,1,100,2,2,0.00533,12.520435,60,61,0.073049,519.147541,158763.419155,138885.547731
Euclidean,1,100,3,2,0.003913,4.111381,39,40,0.075525,522.6,167657.409657,160764.374096
Euclidean,1,100,4,2,0.007312,31.00838,77,78,0.080949,514.410256,182981.006286,126241.561367
Euclidean,1,100,5,2,0.005177,20.515582,55,56,0.076036,528.357143,167899.854843,133454.223162
Euclidean,1,100,6,2,0.004536,19.165299,48,49,0.074959,514.040816,153540.871522,124114.304591
Euclidean,1,100,7,2,0.005322,7.787067,61,62,0.072484,524.354839,164251.023861,151460.686244
Euclidean,1,100,8,2,0.006152,23.011317,64,65,0.080769,522.184615,163437.56951,125828.432846
Euclidean,1,100,9,2,0.004061,3.518883,41,42,0.075476,531.809524,157126.232238,151597.144293
Euclidean,1,100,10,2,0.003515,1.371046,35,36,0.073806,521.333333,154667.803552,152547.237583
Euclidean,1,100,11,2,0.005631,5.588644,61,62,0.076565,516.516129,149039.616244,140710.323398
Euclidean,1,100,12,2,0.005816,15.925547,64,65,0.076169,520.553846,147174.610407,123736.248319
Euclidean,1,100,13,2,0.005205,7.891534,57,58,0.073069,511.172414,154868.092891,142646.624791
Euclidean,1,100,14,2,0.004509,15.515895,47,48,0.075271,525.708333,174702.353401,147595.72003
Euclidean,1,100,15,2,0.00405,5.739963,40,41,0.075293,534.04878,170827.550483,161022.112494
Euclidean,1,100,16,2,0.0047,18.790256,48,49,0.076898,512.489796,174958.595358,142083.427263
Euclidean,1,100,17,2,0.004748,25.961418,48,49,0.078796,520.44898,159291.187488,117936.936725
Euclidean,1,100,18,2,0.00538,14.582876,57,58,0.076948,525.241379,157979.666993,134941.687758
Euclidean,1,100,19,2,0.005004,5.644621,55,56,0.073482,510.928571,154106.141885,145407.434268
Euclidean,1,100,20,2,0.005209,16.38379,53,54,0.080222,527.0,174917.391815,146259.293751
Euclidean,1,100,1,3,0.008098,18.703775,47,48,0.149646,1012.625,168282.257814,136807.123511
Euclidean,1,100,2,3,0.008241,11.403729,51,52,0.140846,986.538462,158763.419155,140658.468329
Euclidean,1,100,3,3,0.006496,4.111381,39,40,0.14115,1000.7,167657.409657,160764.374096
Euclidean,1,100,4,3,0.012708,35.341684,80,81,0.145901,967.580247,182981.006286,118312.436904
Euclidean,1,100,5,3,0.011502,25.085651,67,68,0.151044,984.911765,167899.854843,125781.082856
Euclidean,1,100,6,3,0.00993,23.753958,64,65,0.138938,960.061538,153540.871522,117068.837393
Euclidean,1,100,7,3,0.012367,24.613631,76,77,0.149195,1016.207792,164251.023861,123822.883646
Euclidean,1,100,8,3,0.009472,20.085811,58,59,0.145407,966.372881,163437.56951,130609.808139
Euclidean,1,100,9,3,0.007151,3.558752,43,44,0.143182,999.363636,157126.232238,151534.499657
Euclidean,1,100,10,3,0.007976,12.109082,48,49,0.145408,983.591837,154667.803552,135938.952808
Euclidean,1,100,11,3,0.010219,9.963782,65,66,0.141833,972.666667,149039.616244,134189.633723
Euclidean,1,100,12,3,0.01143,17.779235,69,70,0.149343,975.171429,147174.610407,121008.090189
Euclidean,1,100,13,3,0.008331,7.917828,54,55,0.135855,952.8,154868.092891,142605.903912
Euclidean,1,100,14,3,0.009317,25.890126,55,56,0.150732,1016.785714,174702.353401,129471.694563
Euclidean,1,100,15,3,0.009397,13.739297,58,59,0.144085,1010.237288,170827.550483,147357.04653
Euclidean,1,100,16,3,0.007714,18.790256,47,48,0.142708,975.375,174958.595358,142083.427263
Euclidean,1,100,17,3,0.008356,25.814217,51,52,0.143385,989.461538,159291.187488,118171.414635
Euclidean,1,100,18,3,0.009874,16.36342,60,61,0.146918,992.688525,157979.666993,132128.791283
Euclidean,1,100,19,3,0.008027,5.656195,50,51,0.139176,985.215686,154106.141885,145389.59732
Euclidean,1,100,20,3,0.009788,16.460108,59,60,0.148683,1025.4,174917.391815,146125.800056
Euclidean,1,100,1,4,0.015976,21.856796,60,61,0.24759,1614.032787,168282.257814,131501.147671
Euclidean,1,100,2,4,0.015004,13.875981,57,58,0.243776,1601.758621,158763.419155,136733.437478
Euclidean,1,100,3,4,0.020688,24.331494,78,79,0.250076,1616.658228,167657.409657,126863.857059
Euclidean,1,100,4,4,0.017814,31.989796,63,64,0.263953,1656.375,182981.006286,124445.755811
Euclidean,1,100,5,4,0.017416,25.429943,66,67,0.247104,1606.507463,167899.854843,125203.017614
Euclidean,1,100,6,4,0.017132,23.754203,65,66,0.245712,1574.515152,153540.871522,117068.461109
Euclidean,1,100,7,4,0.018115,22.76291,66,67,0.256701,1624.925373,164251.023861,126862.711032
Euclidean,1,100,8,4,0.014783,20.085811,56,57,0.242175,1558.631579,163437.56951,130609.808139
Euclidean,1,100,9,4,0.014633,6.879721,55,56,0.245946,1646.035714,157126.232238,146316.386536
