input: ../data/euclid/euclid100_1.phylip, k: 1, totaltime [s]: 0.001861, #improving moves: 28, #neighborhood scans: 29, time/iter [ms]: 0.031103, ave size neighbor: 196.000000, init. obj: 168282.257814, obj: 164048.308213, impr. rate [%]: 2.515981
input: ../data/euclid/euclid100_2.phylip, k: 1, totaltime [s]: 0.002492, #improving moves: 48, #neighborhood scans: 49, time/iter [ms]: 0.032061, ave size neighbor: 196.000000, init. obj: 158763.419155, obj: 153532.873986, impr. rate [%]: 3.294553
input: ../data/euclid/euclid100_3.phylip, k: 1, totaltime [s]: 0.002211, #improving moves: 36, #neighborhood scans: 37, time/iter [ms]: 0.032784, ave size neighbor: 196.000000, init. obj: 167657.409657, obj: 163851.280439, impr. rate [%]: 2.270183
input: ../data/euclid/euclid100_4.phylip, k: 1, totaltime [s]: 0.002573, #improving moves: 44, #neighborhood scans: 45, time/iter [ms]: 0.035844, ave size neighbor: 196.000000, init. obj: 182981.006286, obj: 161217.411463, impr. rate [%]: 11.893909
input: ../data/euclid/euclid100_5.phylip, k: 1, totaltime [s]: 0.003409, #improving moves: 56, #neighborhood scans: 57, time/iter [ms]: 0.041263, ave size neighbor: 196.000000, init. obj: 167899.854843, obj: 130811.738836, impr. rate [%]: 22.089427
input: ../data/euclid/euclid100_6.phylip, k: 1, totaltime [s]: 0.002768, #improving moves: 47, #neighborhood scans: 48, time/iter [ms]: 0.039354, ave size neighbor: 196.000000, init. obj: 153540.871522, obj: 126511.274181, impr. rate [%]: 17.604171
input: ../data/euclid/euclid100_7.phylip, k: 1, totaltime [s]: 0.002665, #improving moves: 52, #neighborhood scans: 53, time/iter [ms]: 0.032981, ave size neighbor: 196.000000, init. obj: 164251.023861, obj: 152675.019994, impr. rate [%]: 7.047751
input: ../data/euclid/euclid100_8.phylip, k: 1, totaltime [s]: 0.002548, #improving moves: 43, #neighborhood scans: 44, time/iter [ms]: 0.036591, ave size neighbor: 196.000000, init. obj: 163437.569510, obj: 152368.623795, impr. rate [%]: 6.772583
input: ../data/euclid/euclid100_9.phylip, k: 1, totaltime [s]: 0.002310, #improving moves: 37, #neighborhood scans: 38, time/iter [ms]: 0.034974, ave size neighbor: 196.000000, init. obj: 157126.232238, obj: 152545.760424, impr. rate [%]: 2.915154
input: ../data/euclid/euclid100_10.phylip, k: 1, totaltime [s]: 0.001806, #improving moves: 23, #neighborhood scans: 24, time/iter [ms]: 0.038542, ave size neighbor: 196.000000, init. obj: 154667.803552, obj: 153143.304576, impr. rate [%]: 0.985660
input: ../data/euclid/euclid100_11.phylip, k: 1, totaltime [s]: 0.001945, #improving moves: 32, #neighborhood scans: 33, time/iter [ms]: 0.031182, ave size neighbor: 196.000000, init. obj: 149039.616244, obj: 146161.330711, impr. rate [%]: 1.931222
input: ../data/euclid/euclid100_12.phylip, k: 1, totaltime [s]: 0.002492, #improving moves: 49, #neighborhood scans: 50, time/iter [ms]: 0.030560, ave size neighbor: 196.000000, init. obj: 147174.610407, obj: 143782.816300, impr. rate [%]: 2.304605
input: ../data/euclid/euclid100_13.phylip, k: 1, totaltime [s]: 0.002441, #improving moves: 51, #neighborhood scans: 52, time/iter [ms]: 0.030962, ave size neighbor: 196.000000, init. obj: 154868.092891, obj: 153032.937646, impr. rate [%]: 1.184980
input: ../data/euclid/euclid100_14.phylip, k: 1, totaltime [s]: 0.002199, #improving moves: 36, #neighborhood scans: 37, time/iter [ms]: 0.035378, ave size neighbor: 196.000000, init. obj: 174702.353401, obj: 150224.357608, impr. rate [%]: 14.011257
input: ../data/euclid/euclid100_15.phylip, k: 1, totaltime [s]: 0.002506, #improving moves: 46, #neighborhood scans: 47, time/iter [ms]: 0.032638, ave size neighbor: 196.000000, init. obj: 170827.550483, obj: 165400.580319, impr. rate [%]: 3.176871
