input: ../data/euclid/euclid15_1.phylip, k: 1, totaltime [s]: 0.000071, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.006667, ave size neighbor: 26.000000, init. obj: 317.158718, obj: 315.844330, impr. rate [%]: 0.414426
input: ../data/euclid/euclid15_2.phylip, k: 1, totaltime [s]: 0.000066, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.007333, ave size neighbor: 26.000000, init. obj: 248.873220, obj: 245.747789, impr. rate [%]: 1.255833
input: ../data/euclid/euclid15_3.phylip, k: 1, totaltime [s]: 0.000130, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.008200, ave size neighbor: 26.000000, init. obj: 373.939770, obj: 223.673189, impr. rate [%]: 40.184702
input: ../data/euclid/euclid15_4.phylip, k: 1, totaltime [s]: 0.000102, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.008333, ave size neighbor: 26.000000, init. obj: 232.070166, obj: 205.707542, impr. rate [%]: 11.359764
input: ../data/euclid/euclid15_5.phylip, k: 1, totaltime [s]: 0.000098, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.009400, ave size neighbor: 26.000000, init. obj: 254.319800, obj: 243.120743, impr. rate [%]: 4.403533
input: ../data/euclid/euclid15_6.phylip, k: 1, totaltime [s]: 0.000070, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.006667, ave size neighbor: 26.000000, init. obj: 231.521232, obj: 226.844587, impr. rate [%]: 2.019964
input: ../data/euclid/euclid15_7.phylip, k: 1, totaltime [s]: 0.000118, #improving moves: 8, #neighborhood scans: 9, time/iter [ms]: 0.007333, ave size neighbor: 26.000000, init. obj: 307.453881, obj: 297.970547, impr. rate [%]: 3.084474
input: ../data/euclid/euclid15_8.phylip, k: 1, totaltime [s]: 0.000122, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.009250, ave size neighbor: 26.000000, init. obj: 352.306981, obj: 266.726623, impr. rate [%]: 24.291417
input: ../data/euclid/euclid15_9.phylip, k: 1, totaltime [s]: 0.000103, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.009000, ave size neighbor: 26.000000, init. obj: 291.640249, obj: 276.121541, impr. rate [%]: 5.321182
input: ../data/euclid/euclid15_10.phylip, k: 1, totaltime [s]: 0.000126, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.007700, ave size neighbor: 26.000000, init. obj: 390.301476, obj: 310.779278, impr. rate [%]: 20.374557
input: ../data/euclid/euclid15_11.phylip, k: 1, totaltime [s]: 0.000062, #improving moves: 1, #neighborhood scans: 2, time/iter [ms]: 0.006000, ave size neighbor: 26.000000, init. obj: 249.448579, obj: 243.514123, impr. rate [%]: 2.379030
input: ../data/euclid/euclid15_12.phylip, k: 1, totaltime [s]: 0.000049, #improving moves: 0, #neighborhood scans: 1, time/iter [ms]: 0.003000, ave size neighbor: 26.000000, init. obj: 263.865401, obj: 263.865401, impr. rate [%]: 0.000000
input: ../data/euclid/euclid15_13.phylip, k: 1, totaltime [s]: 0.000075, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.007250, ave size neighbor: 26.000000, init. obj: 343.066535, obj: 331.481461, impr. rate [%]: 3.376918
input: ../data/euclid/euclid15_14.phylip, k: 1, totaltime [s]: 0.000071, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.007667, ave size neighbor: 26.000000, init. obj: 245.283004, obj: 244.126062, impr. rate [%]: 0.471676
input: ../data/euclid/euclid15_15.phylip, k: 1, totaltime [s]: 0.000118, #improving moves: 8, #neighborhood scans: 9, time/iter [ms]: 0.007778, ave size neighbor: 26.000000, init. obj: 355.562882, obj: 297.146768, impr. rate [%]: 16.429194
input: ../data/euclid/euclid15_1.phylip, k: 2, totaltime [s]: 0.000162, #improving moves: 8, #neighborhood scans: 9, time/iter [ms]: 0.012778, ave size neighbor: 65.333333, init. obj: 317.158718, obj: 283.424251, impr. rate [%]: 10.636462
input: ../data/euclid/euclid15_2.phylip, k: 2, totaltime [s]: 0.000158, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.013125, ave size neighbor: 62.750000, init. obj: 248.873220, obj: 212.506650, impr. rate [%]: 14.612488
input: ../data/euclid/euclid15_3.phylip, k: 2, totaltime [s]: 0.000187, #improving moves: 10, #neighborhood scans: 11, time/iter [ms]: 0.012636, ave size neighbor: 62.181818, init. obj: 373.939770, obj: 217.276934, impr. rate [%]: 41.895206
input: ../data/euclid/euclid15_4.phylip, k: 2, totaltime [s]: 0.000128, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.014000, ave size neighbor: 65.333333, init. obj: 232.070166, obj: 205.707542, impr. rate [%]: 11.359764
